canonical_name,cpt_code,code_system,category,cost_tier,used_in_protocols,protocol_ids,raw_names_from_protocols,vocabulary_aliases,has_cpt,needs_attention
Informed Consent,,General,General,LOW,7,p01_brivaracetam; p08; p14; p17_durvalumab_bb172274; p_14_690eb522; pfizer_bnt162; prot_0001_1_3a3bae33,"Confirm signing of ICF, concomitant medications, medical history; Consent: genetic sample and analysis (optional); ICF, demographics, concomitant medications, medical history; Informed consent; Informed consent: study procedures","informed consent, consent, icf, signed consent, written consent, Written Informed Consent, Written Informed Consent for DNA analysis (for subjects from N01358), ICF, demographics, concomitant medications, medical history, Sign revised informed consent form, Confirm signing of ICF, concomitant medications, medical history, Consent: genetic sample and analysis (optional), Informed consent: study procedures, Informed consent: study proceduresb, Obtain informed consent, Obtain informed consent for asymptomatic SARS-CoV-2 infection surveillance",NO,MISSING_CPT
Laboratory Tests,,CPT,Unknown,LOW,1,p09,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Laboratory assessments,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Laboratory tests including hs-CRPu,,CPT,Unknown,LOW,1,p08,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
MMS,,CPT,Unknown,LOW,1,p08,,,NO,MISSING_CPT; UNKNOWN_CATEGORY; LIKELY_NOT_PROCEDURE
MMS^h,,CPT,Unknown,LOW,1,p08,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Medical History,,General,General,LOW,1,p01_brivaracetam,Epilepsy history; General medical and procedures history,"medical history, history, med history, past medical history, pmh, Epilepsy history, General medical and procedures history",NO,MISSING_CPT
Medical procedures,,CPT,Unknown,LOW,1,p01_brivaracetam,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Modified Supplemental Schedule of Events: Open-Label Days 1-57,,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Modified Supplemental Schedule of Events: Open-Label Days 1-57 (Table 22)3,,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Modified Supplemental Schedule of Events: Open-Label Days 1-57 (Table 22)³,,CPT,Unknown,LOW,1,p14,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Monitoring,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Month,,CPT,Unknown,LOW,1,p01_brivaracetam,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Month (M)/Weekly (W) Timepoint,,CPT,Unknown,LOW,1,p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
